nameTeam,isWin,fgmTeam,fg3mTeam,fgaTeam,fg3aTeam,ftaTeam,ftmTeam,plusminusTeam
Brooklyn Nets,FALSE,37,17,84,32,23,13,-23
Milwaukee Bucks,TRUE,48,17,105,45,18,14,23
Golden State Warriors,TRUE,41,14,93,39,30,25,7
Los Angeles Lakers,FALSE,45,15,95,42,19,9,-7
Utah Jazz,TRUE,40,14,91,47,15,13,21
Oklahoma City Thunder,FALSE,34,7,91,35,18,11,-21
Sacramento Kings,TRUE,42,17,92,41,29,23,3
Portland Trail Blazers,FALSE,45,12,93,35,22,19,-3
Phoenix Suns,FALSE,36,14,87,37,17,12,-12
Denver Nuggets,TRUE,44,17,83,39,9,5,12
Orlando Magic,FALSE,35,9,86,29,23,18,-26
San Antonio Spurs,TRUE,49,13,98,30,18,12,26
New York Knicks,TRUE,51,17,105,45,27,19,4
Boston Celtics,FALSE,48,21,117,57,23,17,-4
Houston Rockets,FALSE,40,11,88,33,22,15,-18
Minnesota Timberwolves,TRUE,42,16,87,38,31,24,18
Cleveland Cavaliers,FALSE,47,14,93,38,18,13,-11
Memphis Grizzlies,TRUE,53,14,100,33,12,12,11
New Orleans Pelicans,FALSE,39,13,93,30,9,6,-20
Philadelphia 76ers,TRUE,44,13,85,25,20,16,20
Toronto Raptors,FALSE,30,7,97,34,22,16,-15
Washington Wizards,TRUE,36,5,81,27,26,21,15
Detroit Pistons,FALSE,36,6,90,28,13,10,-6
Chicago Bulls,TRUE,37,7,86,23,15,13,6
Charlotte Hornets,TRUE,46,13,107,31,27,18,1
Indiana Pacers,FALSE,42,17,90,47,24,21,-1
LA Clippers,FALSE,42,14,96,40,21,15,-2
Golden State Warriors,TRUE,43,15,83,31,22,14,2
Miami Heat,TRUE,51,15,96,35,31,20,42
Milwaukee Bucks,FALSE,32,12,84,42,29,19,-42
Dallas Mavericks,FALSE,31,13,93,43,13,12,-26
Atlanta Hawks,TRUE,45,15,94,35,9,8,26
Utah Jazz,TRUE,37,16,90,42,23,20,9
Sacramento Kings,FALSE,39,8,99,36,21,15,-9
Los Angeles Lakers,FALSE,34,15,86,34,29,22,-10
Phoenix Suns,TRUE,42,10,86,32,28,21,10
Denver Nuggets,TRUE,44,9,86,30,8,5,6
San Antonio Spurs,FALSE,40,6,84,24,14,10,-6
Oklahoma City Thunder,FALSE,34,14,91,43,16,9,-33
Houston Rockets,TRUE,48,17,95,38,14,11,33
New Orleans Pelicans,FALSE,42,15,87,29,16,13,-16
Chicago Bulls,TRUE,47,14,89,28,25,20,16
Philadelphia 76ers,FALSE,43,14,91,36,11,9,-5
Brooklyn Nets,TRUE,41,12,88,38,24,20,5
Boston Celtics,FALSE,32,11,82,34,11,8,-32
Toronto Raptors,TRUE,42,10,100,35,21,21,32
Washington Wizards,TRUE,49,19,94,38,19,18,1
Indiana Pacers,FALSE,52,15,97,34,20,15,-1
Orlando Magic,FALSE,33,17,83,43,15,13,-25
New York Knicks,TRUE,44,24,88,54,17,9,25
Cleveland Cavaliers,FALSE,43,9,84,31,20,17,-11
Charlotte Hornets,TRUE,48,13,91,32,17,14,11
Memphis Grizzlies,TRUE,42,15,90,36,25,21,6
LA Clippers,FALSE,43,13,99,39,17,15,-6
Phoenix Suns,FALSE,43,9,89,28,15,10,-29
